circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
00660,12,38,220,243,172
00661,13,26,173,143,207
00663,1269,1089,7380,7936,13105
00664,791,650,3755,5677,9302
00665,3488,2908,18902,18497,35583
00666,1842,1630,10152,10562,21606
00667,1754,1560,13106,9441,16600
00668,1760,1418,12272,10807,17101
00669,1092,1069,10395,5720,9314
0066A,112,156,342,2529,1165
0066B,81,102,299,1330,698
00670,426,487,4104,2543,3568
00671,1352,1328,10228,8173,13816
00672,1050,1027,10125,6055,9345
00673,1409,1232,8435,7557,14724
00675,94,412,3186,3351,3426
00676,0,0,55,48,44
00677,1,4,19,30,26
00678,3,9,39,51,22
00679,1,5,17,20,9
0067A,164,985,1829,4251,5116
0067B,57,395,726,1939,2445
0067C,0,3,3,11,21
0067D,0,7,41,65,104
0067E,2,1,7,28,36
0067G,0,2,4,9,18
0067H,1,8,21,33,35
00680,28,142,452,612,323
00681,2,16,127,140,151
00682,0,4,29,14,6
00683,8,32,128,96,120
00686,1280,2473,14711,14648,12900
00687,30,133,441,388,370
00688,3,22,121,131,67
0068A,2,3,5,12,10
0068B,87,144,231,1454,1934
0068C,10,42,38,483,717
0068D,35,94,190,1377,1588
0068E,17,60,91,639,1119
00690,11,29,96,204,214
00691,42,140,636,639,416
00692,2,18,104,138,74
00696,571,1484,9220,8569,7294
00697,0,3,28,53,9
00698,10,30,92,210,246
00699,7,40,182,98,172
0069A,5,10,26,77,95
00700,51,59,210,349,732
00701,3,7,92,131,129
00703,31,62,451,257,286
00704,0,0,12,19,13
00705,0,2,16,11,9
00706,37,70,680,484,507
00707,3,9,110,88,65
00708,0,1,18,11,8
00709,44,11,87,2,63
0070A,2,6,16,45,291
0070B,0,2,3,10,37
00710,3,15,80,78,27
00711,312,518,3507,2519,2387
00712,1,5,41,46,52
00714,35,43,160,267,263
00715,44,199,619,1010,879
00716,47,110,401,670,466
00717,72,227,585,777,989
00718,13,21,67,137,188
00719,87,191,544,876,797
0071A,22,33,98,281,519
0071B,0,3,10,21,40
00720,30,52,140,289,276
00723,2,7,67,52,43
00725,10,7,122,104,69
00729,388,683,3677,4164,5779
0072A,15,33,178,493,1238
0072B,14,9,57,170,702
0072C,5,7,35,127,193
0072D,0,3,5,44,124
00730,2,24,73,95,46
00731,23,65,534,443,456
00732,53,107,992,1387,671
00733,9,44,263,400,171
00734,475,1133,6339,6403,8262
00735,2,5,44,54,97
00736,3,10,66,50,45
00738,8,33,367,310,373
00739,19,49,394,489,380
0073A,19,39,655,439,743
0073B,3,14,80,70,94
00740,41,49,221,316,257
00741,14,38,532,330,360
00742,87,261,1849,1745,2063
00743,39,154,1510,1406,1190
00744,71,257,1450,1392,1720
00745,1,3,39,29,27
00746,59,252,1893,1525,1897
00747,3,4,51,39,37
00748,221,575,5210,3191,2594
00749,10,49,302,305,208
0074A,19,97,252,715,1006
0074B,0,0,0,0,0
00750,19,65,245,280,206
00751,26,64,464,351,285
00752,2,5,52,26,60
00753,12,39,297,256,262
00754,3,9,132,138,83
00755,15,35,213,201,144
00756,18,73,266,259,184
00757,0,0,1,8,1
00758,5,27,210,144,128
00759,4,42,226,221,174
0075A,59,98,176,1179,1370
0075B,2,4,21,73,76
00760,3,8,28,56,46
00765,31,108,628,816,1050
00766,0,1,60,34,32
00768,528,585,3226,6003,7768
00769,126,134,1377,1542,1529
0076A,71,110,360,1543,2412
0076B,25,40,115,524,420
00770,117,100,608,972,1279
00771,361,334,1667,3071,6054
00772,379,416,2681,3779,5332
00773,844,894,4356,8095,8814
00774,1457,1699,11019,13964,14560
00775,509,492,3403,3919,5287
00776,62,236,1235,1197,797
00777,24,29,259,191,134
00778,79,275,1360,1343,890
00779,2,16,165,99,30
0077A,106,587,856,2295,2402
0077B,13,67,61,242,242
0077C,1,3,15,23,18
0077D,3,4,6,18,55
0077E,3,7,10,26,54
0077F,56,248,217,1042,1105
00780,25,79,497,424,284
00781,2,7,56,41,9
00782,7,26,182,202,83
00783,442,385,6622,3192,5110
00784,634,543,6558,4367,6730
00785,1237,951,10264,7375,11508
00786,472,395,3503,2848,6923
00787,474,397,4124,2830,5498
00788,868,591,2883,4930,16253
00789,1312,884,4424,7341,14560
0078A,7,10,30,77,116
00790,956,1511,6975,8211,10974
00791,691,557,4485,4223,7118
00792,680,552,3461,4461,8280
00797,170,459,2019,2659,4353
00798,146,441,2788,2294,2927
0079A,23,78,187,614,752
0079B,17,60,76,393,743
0079C,4,11,33,98,104
